sample	weighted_NSTI
K01	0.24804555780366885
K02	0.2707011092910118
K03	0.26629384597553934
K04	0.275984713957705
K05	0.28268529653206714
K06	0.28023789464972215
K07	0.3050141291428228
K08	0.2796333265248817
K09	0.2859006434887293
K10	0.2815451965776942
K11	0.27152207385075566
K12	0.263341738372305
K13	0.2926449834634847
K14	0.30228231522525034
K15	0.2602419850197162
K16	0.2714651892983797
K17	0.2660317576637287
K18	0.2707535715280848
K19	0.2606029178551461
K20	0.25512122220615996
K21	0.26869643153106954
K22	0.2607670678162332
K23	0.23531611165526922
K24	0.21055303521183522
K25	0.2810266496752118
K26	0.2491016930295162
K27	0.2846235611288737
K28	0.25025374325407596
K29	0.26592740489942596
K30	0.2749753412849088
K31	0.2508096463431869
K32	0.27014413977427104
K33	0.2871010058998337
K34	0.2591359327795023
K35	0.2592047446118592
K36	0.2768707315216964
K37	0.27071071945443476
K38	0.277244552954309
K39	0.2927320296705616
K40	0.2639523428011805
K41	0.28298967959471855
K42	0.2744350880441176
K43	0.23204123218152528
K44	0.2685215299477767
K45	0.24337453554337557
K46	0.30102962073123885
K47	0.2860996016871435
K48	0.321584151242688
K49	0.29552255408381617
K50	0.30147702453867486
K51	0.29890939686044654
K52	0.27768445716665724
K53	0.29674764946328014
K54	0.27131167939129686
M01	0.25759498694824645
M02	0.28083439690672646
M03	0.28048348422004804
M04	0.2858428130506668
M05	0.2953313785994142
M06	0.27821695516849076
M07	0.2808606718826331
M08	0.28134247514688765
M09	0.295183915826774
M10	0.25054636216556436
M11	0.2754851508066763
M12	0.2662260381088081
M13	0.267145217569332
M14	0.28227604085868585
M15	0.2760488589119631
M16	0.27292526624068747
M17	0.28968566726758643
M18	0.27599880680814165
M19	0.25535276934212764
M20	0.23547188254792997
M21	0.2427519780043406
M22	0.27002269744315666
M23	0.25087915826272295
M24	0.2717788026697706
M25	0.2673147869474267
M26	0.30300241813357404
M27	0.29508268337505206
M28	0.31713947981967544
M29	0.30889587323337503
M30	0.2968963332225201
M31	0.2821903091369237
M32	0.3085266812124043
M33	0.2995493557883336
M34	0.29326966700175294
M35	0.3008600972876689
M36	0.29211054688244165
