Sample,NMDS1,NMDS2,Site,Landuse
K01,-1.51172498468541,0.028618813225387,D,Natural
K02,-1.1357960142153,-0.0708481775309026,D,Natural
K03,-1.50197609392347,0.114609760759231,D,Natural
K04,-1.65868332871289,0.385102015395882,D,Natural
K05,-1.77611824771949,0.0634147180137578,D,Natural
K06,-2.03907633951487,0.030693918716526,D,Natural
K07,-1.72287628416655,0.257529030834062,D,Natural
K08,-1.927316591241,0.199528775340461,D,Natural
K09,-1.5428317096901,0.177803245267197,D,Natural
K10,-0.763724281459144,-0.26779535855772,D,Farm
K11,-0.685995023377672,-0.508725927424916,D,Farm
K12,-0.626914542096375,-0.385084821452044,D,Farm
K13,-0.774151000536722,-0.367291657792232,D,Farm
K14,-0.56571177807238,-0.392341728358236,D,Farm
K15,-0.464841507204037,-0.374796126221516,D,Farm
K16,-0.798054998309567,-0.315347368416199,D,Farm
K17,-1.03575519181648,-0.543687223456428,D,Farm
K18,-0.57245124246203,-0.13326110608053,D,Farm
K19,-1.00891301693543,-0.204796392998768,E,Natural
K20,-1.43936524680325,-0.0854255512644537,E,Natural
K21,-1.22074727017822,-0.449033955845654,E,Natural
K22,-0.570106276897068,-1.04211907296454,E,Natural
K23,-0.389449560026809,-0.661154393267631,E,Natural
K24,-1.67557897166366,-0.682711574981228,E,Natural
K25,-0.294376209868117,-0.72244240464366,E,Natural
K26,-1.03679932735849,-0.653790426188246,E,Natural
K27,-0.651447108787054,-0.939398316054595,E,Natural
K28,-0.53987221193453,-0.340827855570373,E,Farm
K29,-0.458432812741322,-0.262981559118015,E,Farm
K30,-0.650634633473687,-0.239775125358505,E,Farm
K31,-0.761877758554297,-0.734387704290675,E,Farm
K32,-0.705895848765498,-0.340719027474961,E,Farm
K33,-0.780872423911127,-0.660402692558842,E,Farm
K34,-1.01020733998072,-0.0448251731209538,E,Farm
K35,-0.865421790582276,0.0486918107784479,E,Farm
K36,-0.913989435902687,0.0686363155494579,E,Farm
K37,-0.709388132893811,0.649984751524705,F,Natural
K38,-0.460715825394535,0.640520090978084,F,Natural
K39,-1.01272937278283,0.923264308453864,F,Natural
K40,-0.588275043995792,0.787721238410803,F,Natural
K41,-0.460248121442537,0.527042990880385,F,Natural
K42,-0.688233308793744,0.44684815336009,F,Natural
K43,-0.675929205515783,1.28347303217681,F,Natural
K44,-0.936768550383951,0.866069887777616,F,Natural
K45,-0.924980806751511,1.09266809945471,F,Natural
K46,0.803999881462577,-1.74707679335334,F,Farm
K47,0.91442950004537,-1.47814736015686,F,Farm
K48,1.30099137794814,-1.40568485451703,F,Farm
K49,1.2277217031261,-1.29458775096391,F,Farm
K50,1.34811510732971,-1.33144251314742,F,Farm
K51,1.45259180337137,-1.29604174990843,F,Farm
K52,0.456602560424367,-0.677520668569225,F,Farm
K53,0.552613572525324,-0.934407134216494,F,Farm
K54,0.249715394673376,-0.469004631025712,F,Farm
M01,0.491791615021644,0.669707952477584,G,Natural
M02,0.595806388188995,0.608586543445058,G,Natural
M03,0.872856894806232,0.653465017197972,G,Natural
M04,0.647532887447393,0.914124256342727,G,Natural
M05,0.588203578574556,0.897522355910963,G,Natural
M06,0.441534109771021,0.773659847640551,G,Natural
M07,0.691943222821992,0.616684941959175,G,Natural
M08,0.730799642977954,0.601008677115593,G,Natural
M09,0.781229741528977,0.58101843622091,G,Natural
M10,1.60993297403549,-0.186865806512092,G,Farm
M11,1.46995280218261,0.011932687550127,G,Farm
M12,1.46505701218791,-0.0805968762450861,G,Farm
M13,1.42969109185077,-0.138329630104901,G,Farm
M14,1.54436154808665,0.249212494274942,G,Farm
M15,1.20516235494814,-0.240492950922712,G,Farm
M16,1.01470577985839,-0.0378003242595817,G,Farm
M17,1.2925831131294,0.334117444283391,G,Farm
M18,1.06423134579841,0.147694268778373,G,Farm
M19,0.724309812730916,0.495013071179351,H,Natural
M20,0.531571153767731,0.57998503387814,H,Natural
M21,0.452161479583053,0.449722849478791,H,Natural
M22,0.635768853265121,0.527922389120819,H,Natural
M23,0.745797937046175,0.694286392538048,H,Natural
M24,0.768103275463007,0.731870281093041,H,Natural
M25,0.222887592701594,0.695200288746464,H,Natural
M26,1.1508681308572,0.745581744502534,H,Natural
M27,0.928279026775989,0.556833327643219,H,Natural
M28,1.38561816571925,0.330730552477924,H,Farm
M29,1.00764819630973,0.0182698836227648,H,Farm
M30,1.34182756963335,0.249560062470497,H,Farm
M31,1.23363139193118,0.0648288008571294,H,Farm
M32,0.964064912788731,-0.0888235964316585,H,Farm
M33,1.26400739187685,0.142678068690821,H,Farm
M34,1.02698121137021,0.336910646972915,H,Farm
M35,0.832559171462524,0.243253398397202,H,Farm
M36,1.07501249411674,0.317190689561795,H,Farm
