,NMDS1,NMDS2,pvals
Autotrophic_C_fixation,0.560341138784258,0.532887631430097,9.99990000099999e-06
Cellulose_breakdown,0.351292244143196,0.596179645311011,9.99990000099999e-06
Chitin_breakdown,0.187095788730641,0.579436899953608,9.99990000099999e-06
Denitrification,-0.42198903587727,0.392390863502193,9.99990000099999e-06
Lignin_breakdown,0.320249379282524,0.615969759064292,9.99990000099999e-06
Methane_oxidation,0.195641185721376,-0.216917253012323,0.020509794902051
Methanogenesis,0.222406681728633,0.73706552857894,9.99990000099999e-06
N_fixation,0.145468904734631,-0.64265189343542,9.99990000099999e-06
Nitrification,-0.648893035930968,-0.190152029267401,9.99990000099999e-06
Xylan_breakdown,-0.0934706723502242,0.340415027885531,0.003039969600304
Gravimetric.water.content,-0.786873719830124,-0.543435143542262,9.99990000099999e-06
Carbon,-0.499046157609228,0.184771039112917,9.99990000099999e-06
Nitrogen,-0.382969405004217,-0.344068956407197,9.99990000099999e-06
CN_ratio,0.0100159828534836,0.266344598030693,0.039779602203978
pH,-0.428659133230212,0.612255725497073,9.99990000099999e-06
