Sample,assigned_percent
K01,82.3770491803279
K02,76.5335801163406
K03,85.7350608143839
K04,70.7694341618192
K05,75.1983077736647
K06,72.8450555261766
K07,83.3818085668958
K08,71.9989423585405
K09,91.234796404019
K10,92.1337916446325
K11,71.4304600740349
K12,78.8471708090957
K13,60.2987837123215
K14,63.5113696456901
K15,68.1253305129561
K16,71.1528291909043
K17,70.5446853516658
K18,81.2004230565838
K19,55.579058699101
K20,49.1538868323638
K21,53.5695399259651
K22,54.6404019037546
K23,57.5753569539926
K24,61.7133791644632
K25,58.8841882601798
K26,49.1010047593866
K27,52.4590163934426
K28,58.5801163405606
K29,68.0856689582232
K30,62.546271813855
K31,66.4198836594394
K32,73.7043892120571
K33,57.8397673188789
K34,59.8625066102591
K35,70.3992596509783
K36,48.4531993654151
K37,49.4447382337386
K38,48.3606557377049
K39,50.6345848757271
K40,57.4431517715494
K41,55.0105764145954
K42,55.4204124801692
K43,32.9190904283451
K44,53.3051295610787
K45,36.3299841353781
K46,58.4214701216288
K47,81.5177154944474
K48,70.0423056583818
K49,56.7556848228451
K50,62.6520359598096
K51,58.1967213114754
K52,64.3707033315706
K53,76.2956107879429
K54,70.5182443151772
M01,43.5087255420412
M02,48.8498149127445
M03,49.7884717080909
M04,30.2353252247489
M05,21.9063987308303
M06,37.5727128503437
M07,38.6567953463775
M08,57.548915917504
M09,41.4066631411951
M10,32.3241671073507
M11,26.9434161819144
M12,28.6885245901641
M13,39.1062929666843
M14,41.3802221047065
M15,33.7916446324697
M16,41.1686938127974
M17,34.7435219460603
M18,42.4643046007403
M19,48.7572712850343
M20,53.0936012691697
M21,63.5642517186674
M22,30.5526176626125
M23,34.6641988365945
M24,38.8286620835537
M25,90.9042834479112
M26,64.4632469592808
M27,64.806980433633
M28,40.4019037546271
M29,31.914331041777
M30,41.3934426229509
M31,50.6874669487044
M32,56.5177154944473
M33,49.537281861449
M34,41.1025912215758
M35,27.6969857218404
M36,57.2712850343734
